"review_id	order_id	review_score	review_comment_title	review_comment_message	review_creation_date	review_answer_timestamp	english_comment	sentiment",,,,,,,,,,,,,,
"e64fb393e7b32834bb789ff8bb30750e	658677c97b385a9be170737859d3511b	5		Recebi bem antes do prazo estipulado.	2017/4/21 00:00	2017/4/21 22:02	I received well before the stipulated deadline.	1",,,,,,,,,,,,,,
"f7c4243c7fe1938f181bec41a392bdeb	8e6bfb81e283fa7e4f11123a3fb894f1	5		Parab?ns lojas lannister adorei comprar pela Internet seguro e pr?tico Parab?ns a todos feliz P?scoa	2018/3/1 00:00	2018/3/2 10:26	Congratulations LANNISTER stores I loved to buy for the internet safe and practical Congratulations to all happy Easter	1",,,,,,,,,,,,,,
"8670d52e15e00043ae7de4c01cc2fe06	b9bf720beb4ab3728760088589c62129	4	recomendo	aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que ? o mesmo aparelho	2018/5/22 00:00	2018/5/23 16:45	efficient device. on the site the mark of the device is printed as 3desinfector and when arriving this with another name ... Update with the correct brand since it is the same device	1",,,,,,,,,,,,,,
"4b49719c8a200003f700d3d986ea1a19	9d6f15f95d01e79bd1349cc208361f09	4		""Mas um pouco ",travando...pelo valor ta Boa.,,,,,,,,,,,,,
"	2018/2/16 00:00	2018/2/20 10:52	But a little", catching ... for the value is good.,,,,,,,,,,,,,
"	1
3948b09f7c818e2d86c9a546758b2335	e51478e7e277a83743b6f9991dbfa3fb	5	Super recomendo	Vendedor confi?vel"," produto ok e entrega antes do prazo.""	2018/5/23 00:00	2018/5/24 03:00	""Reliable seller"," product ok and delivery before time.""	1",,,,,,,,,,,,
"9314d6f9799f5bfba510cc7bcd468c01	0dacf04c5ad59fd5a0cc1faa07c34e39	2		""GOSTARIA DE SABER O QUE HOUVE"," SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU""	2018/1/18 00:00	2018/1/20 21:25	""I would like to know what happened"," I always received and this purchase now decompected me""	1",,,,,,,,,,,,
"373cbeecea8286a2b66c97b1b157ec46	583174fbe37d3d5f0d6661be3aad1786	1	N?o chegou meu produto	P?ssimo	2018/8/15 00:00	2018/8/15 04:10	Terrible	0",,,,,,,,,,,,,,
"d21bbc789670eab777d27372ab9094cc	4fc44d78867142c627497b60a7e0228a	5	?timo	Loja nota 10	2018/7/10 00:00	2018/7/11 14:10	Shop note 10	1",,,,,,,,,,,,,,
"0e0190b9db53b689b285d3f3916f8441	79832b7cb59ac6f887088ffd686e1d5e	5		obrigado pela aten?ao amim dispensada	2017/12/1 00:00	2017/12/9 22:58	Thanks for the attention to be dismissed	1",,,,,,,,,,,,,,
"fe3db7c069d694bab50cc43463f91608	2ca73e2ff9e3a186ad1e1ffb9b1d9c10	5		""A compra foi realizada facilmente.",,,,,,,,,,,,,,
A entrega foi efetuada muito antes do prazo dado.,,,,,,,,,,,,,,
O produto j? come?ou a ser usado e at? o presente,,,,,,,,,,,,,,
"sem problemas.""	2018/3/23 00:00	2018/4/1 00:27	""The purchase was performed easily.",,,,,,,,,,,,,,
Delivery was performed long before the given deadline.,,,,,,,,,,,,,,
The product has already begun to be used and even the present,,,,,,,,,,,,,,
"no problem.""	1",,,,,,,,,,,,,,
"e07eee7ad7666276bd8b27fbd83fd1ff	68b3cbc68e4cd1fe19bec35f1d3bb7ee	5		rel?gio muito bonito e barato.	2018/3/29 00:00	2018/4/2 14:19	Very beautiful and cheap watch.	1",,,,,,,,,,,,,,
"2c5e27fc178bde7ac173c9c62c31b070	0ce9a24111d850192a933fcaab6fbad3	1		N?o gostei ! Comprei gato por lebre	2017/12/13 00:00	2017/12/16 07:14	Did not like ! I bought cat by hare	1",,,,,,,,,,,,,,
"58044bca115705a48fe0e00a21390c54	68e55ca79d04a79f20d4bfc0146f4b66	1		""Sempre compro pela Internet e a entrega ocorre antes do prazo combinado"," que acredito ser o prazo m?ximo. No stark o prazo m?ximo j? se esgotou e ainda n?o recebi o produto.""	2018/4/8 00:00	2018/4/9 12:22	""I always buy the Internet and delivery occurs before the combined deadline"," which I believe is the maximum period. In Stark the maximum period has already been exhausted and I have not received the product yet.""	0",,,,,,,,,,,,
"c92cdd7dd544a01aa35137f901669cdf	37e7875cdce5a9e5b3a692971f370151	4	Muito bom.	""Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram"," mas esta chegou no prazo.""	2018/6/7 00:00	2018/6/9 18:44	""I got exactly what I expected. The other orders of other sellers delayed"," but it has come on time.""	0",,,,,,,,,,,,
"08c9d79ec0eba1d252e3f52f14b8e6a9	e029f708df3cc108b3264558771605c6	5	Bom	""Recomendo ","	2018/6/13 00:00	2018/6/13 22:54	I recommend ","	1
2170c9452c2216457b36003fe2969fbb	af32671d0b8ce510a94d9111d97371d3	5		muito boa	2018/3/22 00:00	2018/3/30 23:37	very good	1
b193ff3c9f32a01f3a0d9ae26b94d244	e2e6ee1ed2d7f2f36b05d234983bd7a0	5	Maravilhoso!	T? completamente apaixonada"," loja super respons?vel e confi?vel!""	2018/8/10 00:00	2018/8/11 00:22	""I'm completely in love"," shop super responsible and reliable!""	1",,,,,,,,,,
"9fd59cd04b42f600df9f25e54082a8d1	3c314f50bc654f3c4e317b055681dff9	1		Nada de chegar o meu pedido.	2017/4/21 00:00	2017/4/23 05:37	Nothing to get my request.	1",,,,,,,,,,,,,,
